Unnamed: 0,age,Gender,Department,employment status,Years of experience,Work environment,Do you often feel overwhelmed by your workload?,Is your workload generally manageable?,Do you frequently work beyond your scheduled hours?,Do you feel supported by your manager and team?,Are you satisfied with the resources and help available at work?,Do you often feel isolated when dealing with work challenges?,Do you frequently think about work in your personal time?,Do you feel you have a healthy work-life balance?,Does your work often interfere with personal or family time?,Do you regularly feel physically or emotionally exhausted?,"Do you experience symptoms like sleep issues, anxiety, or low mood?",Do you regularly engage in physical or leisure activities?,How do you feel?
1000,41-50,male,Cyber Security,full-time,16-20,remote,2,4,1,5,1,4,1,1,2,4,4,2,Mildly Stressed
1001,41-50,male,Hardware engineering,contract,6-10,remote,3,1,3,4,3,5,2,1,3,4,2,4,Highly Stressed
1002,41-50,male,Software development,full-time,11-15,hybrid,3,1,2,5,4,4,3,2,2,4,4,4,Mildly Stressed
1003,41-50,female,IT Services,contract,1-5,Office-based,4,2,2,1,2,5,1,2,1,2,2,2,Mildly Stressed
1004,51-60,female,IT Services,contract,11-15,hybrid,4,4,2,1,2,1,4,3,2,5,4,1,Highly Stressed
1005,51-60,male,IT Services,full-time,less than 1 year,hybrid,3,1,4,5,2,3,2,3,2,5,1,2,Mildly Stressed
1006,21-30,female,Cyber Security,full-time,less than 1 year,Office-based,2,2,4,4,3,2,5,3,4,5,3,4,Mildly Stressed
1007,under 20,male,Hardware engineering,full-time,11-15,Office-based,3,3,3,1,2,1,2,3,1,4,1,4,Healthy
1008,41-50,male,IT Services,part-time,16-20,hybrid,4,2,2,2,1,1,1,1,1,2,5,3,Mildly Stressed
1009,21-30,female,IT Services,contract,less than 1 year,Office-based,3,5,3,4,2,5,3,2,2,5,4,3,Mildly Stressed
1010,under 20,male,Software development,part-time,less than 1 year,remote,4,2,2,3,5,3,5,2,1,3,3,4,Mildly Stressed
1011,31-40,male,Software development,full-time,11-15,remote,3,2,1,3,5,5,3,4,1,5,3,3,Mildly Stressed
1012,51-60,female,Hardware engineering,contract,less than 1 year,hybrid,5,2,5,4,2,1,2,2,5,1,5,3,Highly Stressed
1013,under 20,male,Hardware engineering,part-time,16-20,hybrid,4,1,5,5,2,2,3,2,1,3,5,3,Mildly Stressed
1014,31-40,male,Other,contract,16-20,Office-based,2,4,2,1,5,4,3,5,3,5,3,4,Healthy
1015,under 20,female,Software development,part-time,16-20,Office-based,5,2,3,1,2,5,2,5,1,4,5,1,Highly Stressed
1016,51-60,male,Other,full-time,1-5,hybrid,3,2,4,4,4,1,5,4,4,5,5,1,Highly Stressed
1017,51-60,female,Cyber Security,part-time,16-20,hybrid,4,5,2,2,5,4,3,3,5,2,4,5,Mildly Stressed
1018,21-30,male,Other,contract,16-20,remote,5,5,2,5,3,4,3,4,4,2,1,3,Healthy
1019,41-50,female,IT Services,contract,1-5,remote,2,3,4,2,5,1,2,4,4,5,2,1,Mildly Stressed
1020,under 20,female,Other,contract,6-10,Office-based,4,3,2,4,1,3,4,1,3,4,3,5,Mildly Stressed
1021,under 20,female,Hardware engineering,contract,less than 1 year,remote,5,5,1,4,4,1,3,2,5,4,2,2,Mildly Stressed
1022,31-40,male,Cyber Security,full-time,16-20,Office-based,5,4,4,2,3,2,1,1,2,4,3,3,Mildly Stressed
1023,51-60,female,IT Services,part-time,less than 1 year,Office-based,5,3,1,3,2,4,5,2,1,5,3,1,Highly Stressed
1024,under 20,female,Other,full-time,11-15,Office-based,1,4,5,4,1,2,3,4,3,5,1,1,Mildly Stressed
1025,51-60,female,Cyber Security,full-time,less than 1 year,remote,3,5,4,5,1,5,2,2,3,1,3,1,Mildly Stressed
1026,under 20,female,Cyber Security,full-time,1-5,hybrid,4,3,4,2,4,4,1,3,2,2,3,5,Healthy
1027,21-30,female,IT Services,contract,less than 1 year,hybrid,4,2,3,3,3,3,2,3,3,3,1,2,Mildly Stressed
1028,41-50,male,Other,contract,less than 1 year,remote,4,5,3,2,1,1,3,4,2,3,5,3,Mildly Stressed
1029,under 20,male,Cyber Security,contract,less than 1 year,hybrid,5,3,4,3,3,5,1,5,2,2,2,1,Mildly Stressed
1030,51-60,male,Cyber Security,part-time,6-10,Office-based,3,4,5,3,3,2,5,3,2,1,3,4,Mildly Stressed
1031,21-30,male,Software development,contract,6-10,hybrid,2,4,2,5,1,5,5,4,3,2,1,3,Healthy
1032,under 20,male,Cyber Security,part-time,11-15,remote,4,3,3,4,3,3,5,1,2,1,3,4,Mildly Stressed
1033,31-40,male,Software development,contract,1-5,hybrid,3,4,5,3,4,1,4,5,3,1,1,5,Healthy
1034,41-50,male,Other,contract,less than 1 year,Office-based,3,3,5,4,1,5,2,3,5,4,2,1,Highly Stressed
1035,under 20,female,Other,full-time,less than 1 year,Office-based,1,3,3,5,4,2,3,4,2,2,4,3,Healthy
1036,21-30,male,Other,full-time,less than 1 year,remote,4,4,2,4,4,5,1,4,3,3,5,3,Mildly Stressed
1037,31-40,female,Hardware engineering,full-time,less than 1 year,remote,5,1,3,1,3,1,2,1,3,5,4,1,Highly Stressed
1038,21-30,female,Other,part-time,6-10,remote,3,2,5,3,3,5,3,1,3,5,1,2,Highly Stressed
1039,21-30,male,Cyber Security,part-time,11-15,Office-based,3,5,1,5,1,2,4,5,1,2,3,5,Healthy
1040,31-40,female,IT Services,contract,16-20,hybrid,2,2,3,2,2,1,3,3,1,5,5,1,Highly Stressed
1041,21-30,female,Software development,part-time,1-5,hybrid,1,5,5,5,1,3,2,4,2,1,2,3,Healthy
1042,31-40,female,Hardware engineering,contract,less than 1 year,remote,3,5,3,3,4,3,3,5,5,5,5,2,Mildly Stressed
1043,under 20,female,Other,part-time,11-15,hybrid,3,2,5,5,3,4,1,5,2,1,3,3,Healthy
1044,31-40,male,Other,part-time,16-20,hybrid,5,3,2,2,4,5,4,1,4,1,4,4,Mildly Stressed
1045,31-40,male,IT Services,part-time,11-15,remote,5,4,5,1,5,2,1,4,4,3,1,3,Mildly Stressed
1046,41-50,male,IT Services,full-time,6-10,remote,2,1,4,3,5,5,4,2,5,5,4,5,Highly Stressed
1047,31-40,male,Hardware engineering,part-time,16-20,Office-based,2,1,1,3,4,1,4,1,5,3,5,1,Highly Stressed
1048,31-40,male,Software development,full-time,11-15,Office-based,2,1,5,5,2,4,3,4,5,5,3,3,Highly Stressed
1049,under 20,male,Other,full-time,6-10,Office-based,5,2,3,4,2,2,1,5,1,1,1,4,Healthy
1050,41-50,male,Hardware engineering,part-time,11-15,Office-based,5,2,3,4,1,5,4,5,1,5,3,4,Highly Stressed
1051,51-60,male,Cyber Security,contract,11-15,hybrid,1,3,5,2,1,2,4,3,4,3,3,1,Highly Stressed
1052,under 20,male,Cyber Security,contract,16-20,hybrid,4,1,4,1,1,1,3,2,5,4,5,4,Burned Out
1053,under 20,male,Hardware engineering,contract,6-10,Office-based,4,3,5,1,3,4,2,1,3,3,4,1,Highly Stressed
1054,51-60,female,Other,part-time,less than 1 year,Office-based,1,1,2,5,2,2,2,3,4,4,3,5,Healthy
1055,31-40,male,Hardware engineering,contract,1-5,remote,4,2,4,5,4,1,5,3,5,2,3,1,Mildly Stressed
1056,21-30,female,Other,full-time,16-20,hybrid,5,4,5,4,5,3,5,2,3,3,3,2,Highly Stressed
1057,41-50,female,IT Services,contract,6-10,hybrid,4,4,1,1,2,2,4,1,5,5,1,4,Highly Stressed
1058,21-30,female,Hardware engineering,part-time,11-15,Office-based,5,4,4,1,2,4,2,1,2,4,3,4,Highly Stressed
1059,51-60,female,Other,contract,6-10,hybrid,1,4,5,1,2,2,4,5,3,5,3,3,Mildly Stressed
1060,under 20,male,Hardware engineering,full-time,1-5,remote,2,5,1,2,1,2,1,1,2,4,5,2,Mildly Stressed
1061,under 20,female,Hardware engineering,part-time,1-5,remote,1,1,5,2,3,1,2,3,1,3,3,3,Mildly Stressed
1062,41-50,male,Other,contract,less than 1 year,hybrid,4,4,2,5,4,5,2,5,4,3,3,1,Mildly Stressed
1063,under 20,male,Other,part-time,less than 1 year,Office-based,5,5,3,4,1,5,2,1,5,5,5,5,Highly Stressed
1064,under 20,female,Software development,part-time,1-5,hybrid,4,5,5,3,3,2,5,2,4,3,1,4,Mildly Stressed
1065,41-50,male,Hardware engineering,part-time,16-20,remote,4,5,4,4,2,4,3,3,5,5,4,5,Highly Stressed
1066,41-50,female,Cyber Security,contract,16-20,Office-based,2,3,5,2,3,4,3,4,2,1,5,1,Highly Stressed
1067,51-60,female,Hardware engineering,part-time,11-15,hybrid,4,3,5,2,1,1,5,2,3,4,1,1,Highly Stressed
1068,under 20,male,Hardware engineering,contract,less than 1 year,Office-based,2,5,5,5,2,2,5,2,3,5,4,2,Highly Stressed
1069,under 20,male,Other,full-time,11-15,Office-based,5,4,5,3,1,2,5,1,5,4,3,3,Burned Out
1070,51-60,female,Hardware engineering,contract,less than 1 year,remote,5,1,4,1,4,5,3,5,2,1,5,4,Highly Stressed
1071,31-40,male,Hardware engineering,full-time,1-5,Office-based,2,2,4,3,2,1,4,5,5,4,3,4,Mildly Stressed
1072,31-40,male,Cyber Security,contract,16-20,hybrid,1,3,5,3,3,3,5,3,5,5,5,5,Highly Stressed
1073,31-40,male,Other,part-time,16-20,Office-based,5,4,3,3,1,4,4,1,5,3,4,2,Burned Out
1074,51-60,female,Hardware engineering,contract,1-5,Office-based,1,4,5,5,5,4,4,5,3,4,1,1,Healthy
1075,under 20,female,IT Services,part-time,11-15,hybrid,5,2,4,2,3,2,1,4,5,4,5,2,Highly Stressed
1076,51-60,male,Software development,full-time,11-15,remote,5,2,2,1,3,1,3,1,3,1,1,4,Mildly Stressed
1077,51-60,male,Cyber Security,contract,6-10,remote,3,4,5,3,2,3,4,1,1,2,3,3,Mildly Stressed
1078,31-40,male,Hardware engineering,part-time,less than 1 year,hybrid,4,2,5,1,3,4,3,5,2,3,3,5,Mildly Stressed
1079,21-30,male,IT Services,full-time,11-15,hybrid,4,4,5,3,1,1,3,2,1,5,4,1,Highly Stressed
1080,under 20,male,Hardware engineering,full-time,1-5,remote,1,2,5,2,5,3,1,1,5,1,4,1,Mildly Stressed
1081,31-40,female,Hardware engineering,contract,11-15,Office-based,4,2,1,1,4,2,3,2,3,5,2,1,Mildly Stressed
1082,21-30,male,Other,full-time,16-20,hybrid,1,4,5,4,5,5,4,3,2,5,2,3,Mildly Stressed
1083,21-30,female,Other,part-time,less than 1 year,Office-based,5,5,4,2,1,4,2,3,4,4,4,4,Highly Stressed
1084,41-50,male,Other,full-time,6-10,hybrid,3,4,4,1,2,4,4,5,2,1,3,4,Mildly Stressed
1085,under 20,female,IT Services,full-time,less than 1 year,remote,3,1,1,3,1,3,4,3,2,1,1,2,Mildly Stressed
1086,21-30,male,Hardware engineering,part-time,16-20,Office-based,5,2,5,3,3,5,3,5,5,3,4,2,Burned out
1087,31-40,female,Software development,full-time,16-20,Office-based,2,3,3,2,2,1,4,5,1,2,1,4,Healthy
1088,41-50,male,Cyber Security,full-time,16-20,hybrid,2,2,5,2,4,2,2,2,1,5,2,1,Mildly Stressed
1089,under 20,female,Other,full-time,16-20,Office-based,4,1,4,3,4,1,3,2,4,3,1,3,Mildly Stressed
1090,51-60,female,Other,full-time,1-5,hybrid,1,3,2,1,1,3,5,3,5,3,4,4,Highly Stressed
1091,31-40,female,Hardware engineering,part-time,6-10,remote,3,3,2,4,3,4,4,2,2,5,3,3,Mildly Stressed
1092,21-30,female,Hardware engineering,full-time,16-20,Office-based,4,4,3,5,4,4,4,1,1,4,4,5,Mildly Stressed
1093,21-30,female,IT Services,part-time,16-20,hybrid,5,5,5,2,5,1,1,4,1,4,5,1,Mildly Stressed
1094,31-40,female,IT Services,full-time,11-15,Office-based,3,4,1,3,2,2,5,1,3,5,5,5,Highly Stressed
1095,21-30,male,Other,full-time,6-10,hybrid,1,3,5,1,5,3,5,1,2,1,5,4,Mildly Stressed
1096,41-50,female,Hardware engineering,full-time,less than 1 year,hybrid,1,3,3,2,4,2,2,5,5,2,3,2,Healthy
1097,under 20,male,Software development,full-time,6-10,hybrid,2,5,3,1,4,3,5,4,1,4,4,4,Mildly Stressed
1098,41-50,male,Cyber Security,part-time,6-10,remote,4,2,3,2,1,2,1,5,5,2,5,5,Mildly Stressed
1099,21-30,male,Hardware engineering,part-time,6-10,Office-based,5,5,2,3,1,1,2,2,2,3,4,3,Mildly Stressed
1100,51-60,male,Hardware engineering,part-time,16-20,remote,3,4,5,1,2,5,5,2,2,3,2,4,Highly Stressed
1101,under 20,male,IT Services,contract,16-20,hybrid,1,2,5,3,1,3,2,4,1,5,5,2,Highly Stressed
1102,under 20,female,Cyber Security,full-time,1-5,hybrid,3,4,1,1,3,1,5,3,4,5,5,5,Mildly Stressed
1103,31-40,female,Other,full-time,less than 1 year,remote,5,5,3,2,2,4,5,2,5,5,3,4,Highly Stressed
1104,31-40,female,Hardware engineering,part-time,11-15,remote,3,2,3,5,3,4,5,1,5,4,4,5,Highly Stressed
1105,51-60,male,Other,contract,6-10,Office-based,4,5,4,5,1,2,4,4,3,2,3,5,Healthy
1106,under 20,female,Hardware engineering,full-time,less than 1 year,hybrid,2,1,4,4,2,4,5,4,2,3,3,1,Highly Stressed
1107,51-60,female,Other,part-time,less than 1 year,remote,3,3,2,4,4,5,4,2,2,2,4,3,Mildly Stressed
1108,31-40,female,Cyber Security,full-time,1-5,hybrid,2,2,5,3,5,3,3,2,1,4,2,1,Mildly Stressed
1109,31-40,female,IT Services,full-time,11-15,hybrid,5,3,1,1,4,2,1,5,1,2,4,5,Healthy
1110,under 20,female,Cyber Security,part-time,6-10,Office-based,2,1,1,4,3,3,2,5,1,2,2,2,Healthy
1111,41-50,male,Software development,part-time,11-15,Office-based,3,2,3,2,4,3,2,1,3,5,3,2,Highly Stressed
1112,21-30,female,IT Services,full-time,1-5,Office-based,3,3,1,5,4,1,3,4,4,2,2,1,Healthy
1113,31-40,male,Cyber Security,full-time,16-20,remote,1,3,3,1,5,4,5,3,1,2,2,2,Healthy
1114,31-40,male,Software development,part-time,less than 1 year,hybrid,3,2,5,5,5,3,1,3,1,2,2,5,Healthy
1115,41-50,male,Hardware engineering,full-time,6-10,remote,2,3,1,1,4,5,3,4,1,1,5,4,Healthy
1116,41-50,male,Hardware engineering,full-time,16-20,remote,1,3,3,4,5,5,3,1,3,3,5,5,Mildly Stressed
1117,51-60,male,Other,part-time,1-5,Office-based,3,2,5,4,4,4,2,5,5,3,3,4,Mildly Stressed
1118,51-60,female,IT Services,full-time,11-15,hybrid,3,3,5,3,2,4,4,5,4,2,4,2,Highly Stressed
1119,21-30,female,Hardware engineering,full-time,less than 1 year,hybrid,5,3,3,1,4,2,4,5,5,5,2,3,Highly Stressed
1120,21-30,female,IT Services,contract,6-10,Office-based,1,4,3,2,1,2,5,3,2,5,5,3,Highly Stressed
1121,under 20,male,Hardware engineering,part-time,16-20,hybrid,5,4,2,4,5,2,5,3,2,5,4,5,Mildly Stressed
1122,51-60,female,Other,contract,16-20,Office-based,5,1,5,3,5,4,3,1,1,3,2,5,Mildly Stressed
1123,31-40,female,Cyber Security,contract,less than 1 year,remote,5,4,3,4,3,3,5,3,5,4,4,2,Highly Stressed
1124,51-60,male,Other,contract,11-15,remote,4,4,5,5,3,1,4,2,3,2,1,3,Healthy
1125,31-40,male,Software development,full-time,1-5,Office-based,5,1,1,4,1,2,1,3,4,3,2,3,Mildly Stressed
1126,41-50,male,Hardware engineering,full-time,11-15,remote,2,3,4,1,5,1,2,5,5,5,4,5,Healthy
1127,51-60,male,Software development,contract,11-15,remote,3,3,4,3,5,5,4,1,5,3,2,3,Highly Stressed
1128,41-50,female,Software development,contract,11-15,Office-based,4,4,3,1,3,4,5,4,4,3,2,5,Mildly Stressed
1129,21-30,male,IT Services,contract,less than 1 year,remote,5,1,3,2,3,5,2,4,5,3,1,1,Highly Stressed
1130,21-30,male,Hardware engineering,full-time,less than 1 year,hybrid,3,3,5,2,4,2,2,1,5,5,4,3,Highly Stressed
1131,under 20,female,Software development,contract,1-5,remote,1,5,3,4,5,3,3,2,4,4,3,4,Healthy
1132,51-60,female,Cyber Security,contract,11-15,Office-based,1,2,5,3,5,2,5,4,3,1,5,2,Mildly Stressed
1133,41-50,male,Software development,part-time,less than 1 year,hybrid,3,2,3,3,4,1,3,5,4,2,2,5,Healthy
1134,31-40,female,Cyber Security,part-time,1-5,hybrid,2,2,5,3,5,2,2,4,1,2,2,3,Healthy
1135,21-30,male,IT Services,full-time,1-5,remote,3,4,3,3,1,3,3,4,1,3,2,3,Healthy
1136,21-30,male,Software development,part-time,11-15,hybrid,3,2,2,4,3,3,5,5,1,4,2,5,Healthy
1137,31-40,female,Other,part-time,6-10,Office-based,4,2,5,1,3,4,4,3,1,5,5,4,Highly Stressed
1138,41-50,female,IT Services,part-time,11-15,hybrid,1,5,2,4,3,4,1,2,2,1,3,3,Healthy
1139,41-50,male,Cyber Security,full-time,6-10,remote,1,3,2,1,2,3,4,5,3,1,1,1,Healthy
1140,51-60,male,IT Services,part-time,1-5,remote,5,5,2,5,1,3,2,5,2,3,3,2,Healthy
1141,51-60,male,Software development,full-time,less than 1 year,hybrid,3,4,2,5,1,1,4,1,5,3,5,5,Mildly Stressed
1142,under 20,female,Hardware engineering,contract,16-20,Office-based,3,2,1,1,4,2,3,2,5,5,4,3,Highly Stressed
1143,21-30,male,Hardware engineering,part-time,1-5,Office-based,2,3,4,4,2,4,5,3,4,5,1,2,Highly Stressed
1144,51-60,male,Cyber Security,full-time,less than 1 year,remote,1,2,1,2,5,1,4,5,1,5,1,5,Healthy
1145,41-50,male,Cyber Security,part-time,1-5,remote,2,2,3,4,1,2,4,3,4,3,4,5,Mildly Stressed
1146,31-40,male,Hardware engineering,contract,11-15,Office-based,4,4,3,2,2,4,5,5,5,4,2,5,Mildly Stressed
1147,41-50,male,Cyber Security,full-time,6-10,hybrid,5,2,4,4,2,1,3,5,1,3,5,4,Mildly Stressed
1148,21-30,female,IT Services,full-time,1-5,hybrid,2,1,4,3,1,5,1,1,3,3,4,1,Highly Stressed
1149,41-50,male,Other,full-time,less than 1 year,hybrid,1,3,4,3,4,5,4,4,5,1,3,5,Mildly Stressed
1150,under 20,male,Other,contract,11-15,hybrid,4,3,2,5,2,4,2,2,4,5,3,4,Mildly Stressed
1151,21-30,male,IT Services,contract,16-20,Office-based,3,1,1,5,3,1,3,1,4,2,4,5,Healthy
1152,31-40,male,Other,contract,11-15,remote,4,4,3,1,2,2,3,3,5,5,5,5,Highly Stressed
1153,under 20,female,Software development,full-time,6-10,remote,2,2,1,2,5,2,4,5,2,4,1,4,Healthy
1154,21-30,female,IT Services,contract,11-15,hybrid,1,2,1,3,1,1,5,5,3,4,1,1,Mildly Stressed
1155,31-40,female,Cyber Security,part-time,16-20,Office-based,2,3,1,4,5,5,4,2,5,5,2,2,Mildly Stressed
1156,under 20,male,IT Services,contract,less than 1 year,Office-based,3,4,4,1,4,1,4,1,5,5,5,3,Highly Stressed
1157,under 20,male,Hardware engineering,full-time,1-5,hybrid,3,4,4,4,3,5,5,1,4,3,3,5,Highly Stressed
1158,21-30,female,Cyber Security,part-time,6-10,hybrid,1,4,3,3,1,5,2,3,1,2,3,1,Mildly Stressed
1159,51-60,female,Hardware engineering,contract,16-20,hybrid,5,2,3,3,2,2,5,1,1,3,2,3,Mildly Stressed
1160,under 20,female,Cyber Security,part-time,6-10,remote,4,4,3,3,3,4,4,1,1,1,3,5,Mildly Stressed
1161,under 20,male,Other,part-time,11-15,hybrid,4,1,1,3,2,3,1,4,4,1,2,3,Healthy
1162,31-40,male,IT Services,full-time,6-10,remote,3,5,4,4,4,1,5,2,1,4,2,4,Healthy
1163,41-50,female,Software development,part-time,16-20,Office-based,2,4,2,1,1,5,2,1,5,4,4,1,Highly Stressed
1164,21-30,female,Cyber Security,part-time,1-5,Office-based,2,5,1,3,4,1,5,3,2,2,1,1,Healthy
1165,21-30,female,Cyber Security,full-time,1-5,remote,5,2,5,5,4,4,5,5,2,4,5,2,Highly Stressed
1166,51-60,male,Hardware engineering,full-time,6-10,remote,2,4,1,1,4,4,3,1,2,1,5,2,Mildly Stressed
1167,51-60,male,Other,full-time,less than 1 year,remote,4,3,4,5,4,3,3,1,1,2,1,3,Healthy
1168,21-30,male,Hardware engineering,part-time,6-10,remote,2,2,5,4,2,3,4,5,2,1,5,4,Mildly Stressed
1169,51-60,female,Hardware engineering,part-time,11-15,hybrid,5,1,1,3,5,5,4,4,1,5,3,3,Mildly Stressed
1170,31-40,female,Other,part-time,1-5,Office-based,4,1,4,1,2,3,5,2,5,5,3,5,Burned Out
1171,21-30,male,Software development,full-time,1-5,hybrid,2,5,4,3,3,5,1,4,5,2,5,1,Mildly Stressed
1172,51-60,female,Hardware engineering,contract,1-5,remote,4,5,2,3,4,2,4,3,4,3,4,3,Mildly Stressed
1173,21-30,male,Hardware engineering,part-time,less than 1 year,hybrid,3,3,1,1,3,5,5,1,4,4,5,3,Highly Stressed
1174,41-50,female,Cyber Security,contract,less than 1 year,hybrid,3,3,4,3,2,3,5,4,3,2,2,1,Mildly Stressed
1175,under 20,female,Other,full-time,16-20,Office-based,3,1,3,3,4,1,5,2,5,4,2,1,Highly Stressed
1176,21-30,female,IT Services,part-time,6-10,hybrid,2,4,4,2,2,3,5,3,1,1,1,2,Mildly Stressed
1177,under 20,female,Software development,contract,6-10,Office-based,5,1,2,2,4,4,5,4,3,3,3,2,Highly Stressed
1178,51-60,male,Software development,part-time,11-15,remote,4,1,4,1,2,3,3,1,5,4,4,1,Burned Out
1179,under 20,female,Other,part-time,1-5,hybrid,1,3,1,1,1,2,2,2,1,5,5,3,Mildly Stressed
1180,21-30,male,Cyber Security,part-time,less than 1 year,remote,3,5,1,3,5,5,2,1,5,5,2,5,Mildly Stressed
1181,41-50,male,Cyber Security,contract,11-15,Office-based,3,3,5,5,5,4,5,1,5,1,3,3,Mildly Stressed
1182,51-60,male,Other,full-time,11-15,remote,1,3,1,1,4,5,4,3,1,2,3,5,Healthy
1183,21-30,female,Cyber Security,part-time,less than 1 year,remote,1,3,5,3,1,5,1,2,5,4,4,1,Highly Stressed
1184,51-60,male,Software development,full-time,6-10,Office-based,2,1,3,5,3,3,5,5,5,1,4,5,Mildly Stressed
1185,31-40,male,Software development,full-time,1-5,remote,4,4,2,2,1,1,1,1,5,5,4,2,Highly Stressed
1186,under 20,male,IT Services,contract,6-10,remote,3,1,3,1,4,4,3,2,4,5,4,1,Burned Out
1187,31-40,female,Other,contract,11-15,remote,5,2,5,3,1,2,2,1,2,5,2,4,Highly Stressed
1188,21-30,female,Hardware engineering,full-time,1-5,hybrid,2,3,4,2,3,2,3,4,5,3,4,5,Mildly Stressed
1189,41-50,male,Hardware engineering,part-time,16-20,remote,2,3,4,4,4,1,4,4,1,3,3,5,Healthy
1190,51-60,female,IT Services,contract,11-15,Office-based,5,2,3,2,5,1,4,2,5,5,3,4,Highly Stressed
1191,under 20,male,IT Services,part-time,6-10,hybrid,5,3,4,3,1,3,5,3,4,2,5,4,Highly Stressed
1192,51-60,male,Cyber Security,part-time,6-10,hybrid,5,3,5,5,5,2,4,5,4,3,3,1,Mildly Stressed
1193,21-30,female,IT Services,part-time,6-10,Office-based,1,3,2,4,5,4,4,4,5,4,3,3,Mildly Stressed
1194,51-60,male,IT Services,full-time,less than 1 year,remote,3,2,1,4,2,1,3,3,3,3,2,4,Healthy
1195,under 20,female,Hardware engineering,part-time,11-15,hybrid,1,1,5,4,3,1,1,5,2,4,3,5,Healthy
1196,21-30,female,Cyber Security,full-time,1-5,hybrid,3,3,5,1,1,1,2,4,1,3,1,4,Healthy
1197,51-60,male,IT Services,full-time,6-10,hybrid,1,4,1,3,5,4,4,5,1,5,3,1,Healthy
1198,41-50,female,IT Services,part-time,6-10,remote,4,2,1,4,5,2,4,1,1,4,5,1,Highly Stressed
1199,21-30,female,Cyber Security,part-time,less than 1 year,hybrid,3,5,2,2,3,4,3,2,1,2,5,5,Healthy
1200,21-30,male,Other,part-time,1-5,Office-based,2,2,2,5,5,4,2,4,4,3,4,5,Healthy
1201,41-50,male,Cyber Security,part-time,11-15,remote,3,1,2,3,5,3,3,4,2,3,2,5,Healthy
1202,31-40,female,Hardware engineering,full-time,16-20,Office-based,3,2,4,2,5,1,1,1,5,5,5,3,Highly Stressed
1203,under 20,female,Other,part-time,less than 1 year,Office-based,3,5,5,1,5,2,3,4,5,4,1,5,Healthy
1204,31-40,male,Software development,part-time,11-15,hybrid,4,4,1,4,2,3,2,4,3,5,1,1,Mildly Stressed
1205,51-60,female,Cyber Security,full-time,16-20,hybrid,1,5,5,2,2,3,2,4,5,4,4,1,Mildly Stressed
1206,41-50,female,Hardware engineering,contract,6-10,hybrid,2,2,5,3,4,5,4,4,2,3,2,4,Mildly Stressed
1207,31-40,female,Other,contract,6-10,Office-based,1,5,2,2,1,1,1,4,5,3,2,5,Healthy
1208,21-30,female,Cyber Security,full-time,1-5,remote,1,2,2,1,3,2,5,3,4,3,3,3,Highly Stressed
1209,51-60,female,IT Services,contract,16-20,hybrid,5,4,5,5,4,2,4,4,5,3,1,2,Mildly Stressed
1210,51-60,female,Cyber Security,full-time,6-10,hybrid,4,4,2,4,2,2,3,1,1,1,1,4,Healthy
1211,31-40,female,Software development,part-time,6-10,Office-based,5,1,4,3,2,1,3,4,1,3,1,3,Mildly Stressed
1212,31-40,male,Cyber Security,part-time,1-5,remote,4,4,1,4,2,2,2,5,1,3,1,5,Healthy
1213,41-50,male,Other,contract,11-15,Office-based,1,3,5,4,4,4,2,5,1,4,5,3,Healthy
1214,under 20,male,Other,part-time,6-10,hybrid,1,5,1,4,2,4,2,1,4,3,2,2,Healthy
1215,31-40,male,Cyber Security,contract,less than 1 year,Office-based,4,5,4,2,4,1,5,3,4,3,3,3,Mildly Stressed
1216,31-40,male,Other,contract,less than 1 year,hybrid,1,2,2,2,2,2,5,1,4,4,5,2,Highly Stressed
1217,21-30,female,IT Services,part-time,11-15,remote,1,4,3,5,5,5,4,3,5,3,2,2,Mildly Stressed
1218,51-60,female,Cyber Security,part-time,16-20,Office-based,2,1,4,1,5,5,5,2,1,3,4,2,Highly Stressed
1219,under 20,female,IT Services,contract,1-5,hybrid,5,1,3,3,1,5,2,5,3,5,1,3,Highly Stressed
1220,21-30,female,IT Services,part-time,less than 1 year,hybrid,5,1,1,2,2,4,4,5,3,1,3,5,Mildly Stressed
1221,41-50,male,Hardware engineering,full-time,less than 1 year,hybrid,5,3,5,4,1,5,4,5,1,4,2,1,Highly Stressed
1222,41-50,female,Cyber Security,part-time,11-15,hybrid,3,4,2,1,4,2,1,3,2,5,4,1,Mildly Stressed
1223,31-40,female,Other,part-time,16-20,Office-based,2,1,4,3,1,2,5,1,5,2,1,3,Highly Stressed
1224,31-40,male,IT Services,full-time,16-20,hybrid,5,3,2,3,2,5,3,3,3,2,4,5,Mildly Stressed
1225,41-50,female,Hardware engineering,part-time,11-15,Office-based,5,5,3,3,4,3,3,5,4,1,4,1,Mildly Stressed
1226,31-40,female,Cyber Security,part-time,less than 1 year,hybrid,2,2,3,3,4,5,1,5,2,2,5,2,Mildly Stressed
1227,under 20,male,Cyber Security,contract,1-5,Office-based,1,4,5,5,5,3,2,5,4,1,4,3,Healthy
1228,31-40,female,Software development,part-time,less than 1 year,Office-based,5,4,3,3,4,1,1,5,2,2,5,3,Healthy
1229,51-60,female,Software development,part-time,16-20,hybrid,1,5,5,1,4,1,2,2,2,2,5,4,Healthy
1230,31-40,female,IT Services,full-time,less than 1 year,hybrid,5,4,4,2,1,2,5,5,5,5,4,4,Highly Stressed
1231,21-30,female,Software development,contract,1-5,hybrid,4,4,5,1,4,4,5,3,4,2,2,4,Highly Stressed
1232,under 20,female,IT Services,contract,6-10,hybrid,3,4,3,4,3,2,4,5,4,1,4,5,Healthy
